# sections
CS Mentorship
CS Research
CS Research Experience Undergraduates (REU)
CS Scholarships
CS conferences and scholarships
CS exploratory programs
CS fellowships
CS internship alternative
CS underclassmen internships
Coding interview resources
Finance and consulting exploratory programs
For rising seniors and seniors
Other stuff
Part-time internships
# rows
CS underclassmen internships	[Amazon Future Engineer](https://www.amazonfutureengineer.com/scholarships)	Name=[Amazon Future Engineer](https://www.amazonfutureengineer.com/scholarships); Description=Amazon Future Engineer Scholarship winners receive a scholarship of up to $40,000 (up to $10,000/year) towards an undergraduate degree in computer science and an opportunity to complete a summer internship at Amazon!
CS underclassmen internships	[Capital One’s Early Internship Program](https://www.capitalonecareers.com/early-internships-program)	Name=[Capital One’s Early Internship Program](https://www.capitalonecareers.com/early-internships-program); Description=Capital One’s Early Internship Program (see technology program) gives current college students real-world experience and the tools to grow both personally and professionally. The program is designed for second-year undergraduate students to help you develop your talents while preparing for future internships and full-time opportunities at Capital One.; Approximate Deadline=Fall
CS underclassmen internships	[Citadel Launch](https://www.citadel.com/careers/programs-and-events/)	Name=[Citadel Launch](https://www.citadel.com/careers/programs-and-events/); Description=The Launch Internship is an eleven-week paid internship program for students aspiring to be engineers and seeking an opportunity learn about the finance industry. As a Launch Intern, you will join us in a premier destination of learning and mentorship. During the 11-week program, you will be immersed in the finance industry, collaborating with experienced engineers on projects that have impact on our firms and global capital markets. You will have the opportunity to network and socialize with peers and even connect with senior leaders at Citadel and Citadel Securities.; Approximate Deadline=Late fall
CS underclassmen internships	[Dropbox Launch](https://www.dropbox.jobs/)	Name=[Dropbox Launch](https://www.dropbox.jobs/); Description=Dropbox Launch aims to provide you with a 12 week immersive experience. Check Dropbox Careers for the current university and internship programs.; Approximate Deadline=December (?)
CS underclassmen internships	[Duolingo Thrive Internship (SWE)](https://careers.duolingo.com/)	Name=[Duolingo Thrive Internship (SWE)](https://careers.duolingo.com/); Description=The Duolingo Thrive Program is an immersive 8-week summer training program that provides second-year students from underrepresented communities the opportunity to develop their software engineering skills and experience what it’s like to work at Duolingo.; Approximate Deadline=October
CS underclassmen internships	[EA Pathfinder](https://www.ea.com/en-ca/careers/early-careers)	Name=[EA Pathfinder](https://www.ea.com/en-ca/careers/early-careers); Description=The Pathfinders program is designed for STEM college freshmen and sophomores from underrepresented backgrounds to get an early, real-world experience in technical fields. Our goal is to showcase work and foster mutual learning for these students in a great tech environment at EA!; Approximate Deadline=Fall
CS underclassmen internships	[First Play: LinkedIn's Underclassman Engineering Internshipk](https://careers.linkedin.com/pathways-programs/internships/Technical/first-play)	Name=[First Play: LinkedIn's Underclassman Engineering Internshipk](https://careers.linkedin.com/pathways-programs/internships/Technical/first-play); Description=First Play is designed for students who have completed their first or second year of computer science education who want hands-on experience, mentorship, and growth opportunities early in their college journey. First Play is tailored for those building foundational skills required to become an AI-native builder.; Approximate Deadline=Fall
CS underclassmen internships	[Global Technology Freshman Summer Analyst Program](https://campus.bankofamerica.com/careers/Global-Technology-Freshman-Summer-Analyst-Program-US.html)	Name=[Global Technology Freshman Summer Analyst Program](https://campus.bankofamerica.com/careers/Global-Technology-Freshman-Summer-Analyst-Program-US.html); Description=Global Technology & Operations (GT&O) provides end-to-end technology and fulfillment to individual consumers, small businesses, middle-market businesses and large corporations. Globally, GT&O manages the critical systems and multiple platforms needed to maintain the enterprise's market-leading positions in key segments, including deposits, payment products, consumer lending, wealth management, small business and middle-market lending, treasury services, investment banking, and sales and trading.; Approximate Deadline=Early december
CS underclassmen internships	[Google ASDI - Associate Software Developer Intern](https://buildyourfuture.withgoogle.com/programs/step/)	Name=[Google ASDI - Associate Software Developer Intern](https://buildyourfuture.withgoogle.com/programs/step/); Description=ASDI (Associate Software Developer Intern), is a 12-week internship for first and second-year undergraduate students with a passion for computer science. The internship program has a focus of providing development opportunities to students from groups historically underrepresented in tech, through technical training and professional development. Two phone interviews.; Approximate Deadline=October
CS underclassmen internships	[JPMorganChase Fellowship Program](https://www.jpmorganchase.com/careers/explore-opportunities/programs/jpmcfellowship)	Name=[JPMorganChase Fellowship Program](https://www.jpmorganchase.com/careers/explore-opportunities/programs/jpmcfellowship); Description=The JPMorganChase Fellowship Program offers a five-week paid, full-time summer fellowship held in select JPMorganChase offices. This program is seeking sophomore students, including, without limitation, Black, Hispanic and Latino students, who are interested in exploring career opportunities at JPMorganChase.; Approximate Deadline=Fall
CS underclassmen internships	[Meta University](https://www.metacareers.com/careerprograms/students/)	Name=[Meta University](https://www.metacareers.com/careerprograms/students/); Description=Meta University for Engineers is a paid eight-week training program designed to provide mobile development experience to students who are historically under-represented in computer science. Hackerrank + Phone interview.; Approximate Deadline=October
