# sections
Fall 2026 (34 employer-stated)
Recently posted — cycle not stated (178 roles)
Summer 2027 (300 employer-stated)
# rows
Recently posted — cycle not stated (178 roles)	Booz Allen / University – Summer 27, Enterprise Cybersecurity Data Loss Prevention Intern 🇺🇸 🆕 @ McLean, VA	Company=Booz Allen; Role=University – Summer 27, Enterprise Cybersecurity Data Loss Prevention Intern 🇺🇸; Category=Data & ML/AI; Location=McLean, VA; Skills=AWS, GCP, Azure; Posted=Sep 09, 2026; Apply=[Apply](https://bah.wd1.myworkdayjobs.com/bah_jobs/job/McLean-VA/University---Summer-27--Enterprise-Cybersecurity-Data-Loss-Prevention-Intern_R0249083)
Recently posted — cycle not stated (178 roles)	Bosch / AI Security Research Intern @ Pittsburgh, PA, United States	Company=Bosch; Role=AI Security Research Intern; Category=Data & ML/AI; Location=Pittsburgh, PA, United States; Skills=Python, PyTorch, LLMs; Posted=Aug 25, 2026; Apply=[Apply](https://jobs.smartrecruiters.com/BoschGroup/744000145507908)
Recently posted — cycle not stated (178 roles)	Bosch / Phone as a Key Software Engineering - Intern @ Plymouth, MI, United States	Company=Bosch; Role=Phone as a Key Software Engineering - Intern; Category=Software; Location=Plymouth, MI, United States; Skills=Python, C++, ROS; Posted=Aug 26, 2026; Apply=[Apply](https://jobs.smartrecruiters.com/BoschGroup/744000145785190)
Recently posted — cycle not stated (178 roles)	Bosch / Powertrain Controls Software Engineering Intern (6-Months, Full-Time) @ Farmington Hills, MI, United States	Company=Bosch; Role=Powertrain Controls Software Engineering Intern (6-Months, Full-Time); Category=Software; Location=Farmington Hills, MI, United States; Skills=MATLAB, Linux; Posted=Aug 11, 2026; Apply=[Apply](https://jobs.smartrecruiters.com/BoschGroup/744000142898574)
Recently posted — cycle not stated (178 roles)	Bracco / Software Engineering Intern 🆕 @ USA, Eden Prairie, Minnesota, 55344	Company=Bracco; Role=Software Engineering Intern; Category=Software; Location=USA, Eden Prairie, Minnesota, 55344; Skills=Python, Java, C++, C#; Posted=Sep 10, 2026; Apply=[Apply](https://bracco.wd103.myworkdayjobs.com/braccocareers/job/USA-Eden-Prairie-Minnesota-55344/Software-Engineering-Intern_JR100328)
Recently posted — cycle not stated (178 roles)	Brunswick / Mercury Marine: Software Controls Engineering Intern @ Fond du Lac, WI	Company=Brunswick; Role=Mercury Marine: Software Controls Engineering Intern; Category=Software; Location=Fond du Lac, WI; Skills=MATLAB; Posted=Aug 31, 2026; Apply=[Apply](https://brunswick.wd1.myworkdayjobs.com/search/job/Fond-du-Lac-WI/Mercury-Marine--Software-Controls-Engineering-Intern_JR-051436)
Recently posted — cycle not stated (178 roles)	Brunswick / Mercury Marine: Software Validation Intern @ Oshkosh, WI	Company=Brunswick; Role=Mercury Marine: Software Validation Intern; Category=Software; Location=Oshkosh, WI; Skills=Python, C++, C#; Posted=Aug 25, 2026; Apply=[Apply](https://brunswick.wd1.myworkdayjobs.com/search/job/Oshkosh-WI/Mercury-Marine--Software-Validation-Intern_JR-051160)
Recently posted — cycle not stated (178 roles)	Brunswick / Software Engineer Intern 🛂 @ Menomonee Falls, WI	Company=Brunswick; Role=Software Engineer Intern; Category=Software; Location=Menomonee Falls, WI; Skills=Python, JavaScript, SQL; Posted=Aug 28, 2026; Apply=[Apply](https://brunswick.wd1.myworkdayjobs.com/search/job/Menomonee-Falls-WI/Software-Engineer-Intern_JR-051426-1)
Recently posted — cycle not stated (178 roles)	Buildertrend / Software Engineering Intern @ Omaha, NE	Company=Buildertrend; Role=Software Engineering Intern; Category=Software; Location=Omaha, NE; Skills=Java, C#, React, Git; Posted=Sep 08, 2026; Apply=[Apply](https://buildertrend.wd108.myworkdayjobs.com/External_Careers/job/Omaha-NE/Software-Engineering-Inter_JR-000467)
Recently posted — cycle not stated (178 roles)	Businessolver / Business Intelligence Analyst Internship (Innovation & Data Science) 🆕 @ United States	Company=Businessolver; Role=Business Intelligence Analyst Internship (Innovation & Data Science); Category=Data & ML/AI; Location=United States; Skills=Python, SQL, AWS; Posted=Sep 11, 2026; Apply=[Apply](https://job-boards.greenhouse.io/businessolverinvitationonly/jobs/8189738)
